rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,108,u咪来,42
2,25151770,照夜玉柿子,舰长,143,u咪来,35
3,3494371510979288,万华镜mirai,舰长,103,u咪来,35
4,16797830,そらのほし,舰长,77,u咪来,34
5,42547938,咖卜骑糯,舰长,139,u咪来,31
6,3546585180932133,一杯浓咖啡や,舰长,98,u咪来,31
7,506962014,bili_12512606953,舰长,148,u咪来,31
8,29113754,Epiphyllum丶丶,舰长,143,u咪来,30
9,10435062,星虎咪来i,舰长,103,u咪来,29
10,101990044,imay__,舰长,149,u咪来,28
11,62165773,Ar_紫,舰长,137,u咪来,28
12,287929635,NuPException,舰长,149,u咪来,28
13,20567181,小爱同学关下灯,舰长,143,u咪来,27
14,8318702,KiraCE73,舰长,42,u咪来,26
15,517313579,白米饭耶-曼波,舰长,60,u咪来,25
16,3755241,唧唧歪歪的说啥呢,舰长,14,u咪来,22
