rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,97,u咪来,42
2,25151770,照夜玉柿子,舰长,132,u咪来,35
3,3494371510979288,万华镜mirai,舰长,92,u咪来,35
4,16797830,そらのほし,舰长,66,u咪来,34
5,42547938,咖卜骑糯,舰长,128,u咪来,31
6,506962014,bili_12512606953,舰长,137,u咪来,31
7,29113754,Epiphyllum丶丶,舰长,132,u咪来,30
8,10435062,星虎咪来i,舰长,92,u咪来,29
9,101990044,imay__,舰长,138,u咪来,28
10,62165773,Ar_紫,舰长,126,u咪来,28
11,20567181,小爱同学关下灯,舰长,132,u咪来,27
12,287929635,NuPException,舰长,138,u咪来,27
13,8318702,KiraCE73,舰长,31,u咪来,26
14,517313579,白米饭耶-曼波,舰长,49,u咪来,25
15,26493138,烟雨_鼠掉了喵,舰长,24,u咪来,25
16,3755241,唧唧歪歪的说啥呢,舰长,3,u咪来,22
17,8499244,良辰和星_Official,舰长,27,u咪来,21
