rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,103,u咪来,42
2,25151770,照夜玉柿子,舰长,138,u咪来,35
3,3494371510979288,万华镜mirai,舰长,98,u咪来,35
4,16797830,そらのほし,舰长,72,u咪来,34
5,42547938,咖卜骑糯,舰长,134,u咪来,31
6,3546585180932133,一杯浓咖啡や,舰长,93,u咪来,31
7,506962014,bili_12512606953,舰长,143,u咪来,31
8,29113754,Epiphyllum丶丶,舰长,138,u咪来,30
9,10435062,星虎咪来i,舰长,98,u咪来,29
10,101990044,imay__,舰长,144,u咪来,28
11,62165773,Ar_紫,舰长,132,u咪来,28
12,287929635,NuPException,舰长,144,u咪来,27
13,20567181,小爱同学关下灯,舰长,138,u咪来,27
14,8318702,KiraCE73,舰长,37,u咪来,26
15,517313579,白米饭耶-曼波,舰长,55,u咪来,25
16,26493138,烟雨_鼠掉了喵,舰长,30,u咪来,25
17,3755241,唧唧歪歪的说啥呢,舰长,9,u咪来,22
