rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,138,u咪来,42
2,3494371510979288,万华镜mirai,舰长,133,u咪来,35
3,25151770,照夜玉柿子,舰长,173,u咪来,35
4,16797830,そらのほし_真爱蜜汁,舰长,107,u咪来,34
5,42547938,咖卜骑糯,舰长,169,u咪来,32
6,506962014,bili_12512606953,舰长,178,u咪来,31
7,29113754,Epiphyllum丶丶,舰长,171,u咪来,31
8,10435062,星虎咪来i,舰长,133,u咪来,30
9,101990044,imay__,舰长,179,u咪来,29
10,62165773,Ar_紫,舰长,167,u咪来,29
11,287929635,NuPException,舰长,179,u咪来,28
12,3691006499228203,唔系阿离qwq,舰长,23,u咪来,27
13,8318702,KiraCE73,舰长,72,u咪来,26
14,336726549,很难骗到的大黄猫,舰长,19,u咪来,23
15,3546879740610872,池野藻,舰长,13,u咪来,22
16,220973608,森么都布吉岛,舰长,17,u咪来,21
