rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,140,u咪来,42
2,3494371510979288,万华镜mirai,舰长,135,u咪来,35
3,25151770,照夜玉柿子,舰长,175,u咪来,35
4,16797830,そらのほし_真爱蜜汁,舰长,109,u咪来,34
5,42547938,咖卜骑糯,舰长,171,u咪来,32
6,3546585180932133,一杯浓咖啡や,舰长,123,u咪来,31
7,506962014,bili_12512606953,舰长,180,u咪来,31
8,29113754,Epiphyllum丶丶,舰长,173,u咪来,31
9,10435062,星虎咪来i,舰长,135,u咪来,30
10,101990044,imay__,舰长,181,u咪来,30
11,62165773,Ar_紫,舰长,169,u咪来,29
12,287929635,NuPException,舰长,181,u咪来,29
13,3691006499228203,唔系阿离qwq,舰长,25,u咪来,27
14,8318702,KiraCE73,舰长,74,u咪来,26
15,336726549,很难骗到的大黄猫,舰长,21,u咪来,23
16,3546879740610872,池野藻,舰长,15,u咪来,22
17,220973608,森么都布吉岛,舰长,19,u咪来,21
