rank,uid,username,type,accompany,medal_name,medal_level
1,6192323,メカ紫陽花,舰长,52,u咪来,33
2,25151770,照夜玉柿子,舰长,46,u咪来,31
3,29113754,昙花丶_,舰长,46,u咪来,30
4,74010949,千谋百计,舰长,48,u咪来,29
5,301804470,ALin-INTP,舰长,11,u咪来,28
6,4713118,我看你也是风韵犹存呢,舰长,0,u咪来,28
7,3546585180932133,一杯浓咖啡や,舰长,49,u咪来,28
8,395692114,yuki_asakaze,舰长,0,u咪来,27
9,506962014,bili_12512606953,舰长,51,u咪来,26
10,42547938,咖卜骑糯,舰长,42,u咪来,26
11,6369479,免肆,舰长,0,u咪来,25
12,129811694,河眠,舰长,51,u咪来,25
13,287929635,NuPException,舰长,52,u咪来,25
14,3494371510979288,浸梦海床,舰长,6,u咪来,25
15,101990044,imay__,舰长,52,u咪来,25
16,62165773,Ar_紫,舰长,40,u咪来,24
17,2059921,鬼冢镜,舰长,52,u咪来,24
18,1754674448,云聚日沉,舰长,14,u咪来,24
19,9552376,乐楽豹,舰长,51,u咪来,24
20,20567181,小爱同学关下灯,舰长,46,u咪来,23
21,517546152,嗨皮酒吧,舰长,5,u咪来,23
22,363980816,从此失去一根冰棍,舰长,18,u咪来,23
23,2082808421,帝宝想吃糯米团子,舰长,25,u咪来,23
24,10435062,不喝点就会死,舰长,6,u咪来,22
25,21598290,AAA砚星楼月师傅,舰长,5,u咪来,21
