rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,76,u咪来,42
2,3494371510979288,万华镜mirai,提督,71,u咪来,35
3,16797830,そらのほし,提督,45,u咪来,33
4,25151770,照夜玉柿子,舰长,111,u咪来,35
5,3546585180932133,一杯浓咖啡や,舰长,76,u咪来,31
6,42547938,咖卜骑糯,舰长,107,u咪来,30
7,29113754,Epiphyllum丶丶,舰长,111,u咪来,30
8,506962014,bili_12512606953,舰长,116,u咪来,30
9,10435062,星虎咪来i,舰长,71,u咪来,28
10,20567181,小爱同学关下灯,舰长,111,u咪来,27
11,287929635,NuPException,舰长,117,u咪来,27
12,101990044,imay__,舰长,117,u咪来,27
13,62165773,Ar_紫,舰长,105,u咪来,27
14,8318702,KiraCE73,舰长,10,u咪来,25
15,517313579,白米饭耶-曼波,舰长,28,u咪来,25
16,314881392,leo11544,舰长,44,u咪来,23
17,26493138,烟雨_鼠掉了喵,舰长,3,u咪来,23
18,1466779615,叶秋疯i,舰长,16,u咪来,22
19,8499244,良辰和星_Official,舰长,6,u咪来,21
