rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,这猫好大只,提督,40,u咪来,42
2,25151770,照夜玉柿子,舰长,75,u咪来,32
3,29113754,Epiphyllum丶丶,舰长,75,u咪来,30
4,3494371510979288,浸梦海床,舰长,35,u咪来,29
5,4713118,我看你也是风韵犹存呢,舰长,70,u咪来,29
6,42547938,咖卜骑糯,舰长,71,u咪来,28
7,506962014,bili_12512606953,舰长,80,u咪来,28
8,395692114,yuki_asakaze,舰长,79,u咪来,27
9,16797830,そらのほし,舰长,9,u咪来,27
10,6369479,免肆,舰长,63,u咪来,27
11,481601612,失忆症_i,舰长,25,u咪来,27
12,101990044,imay__,舰长,81,u咪来,26
13,62165773,Ar_紫,舰长,69,u咪来,26
14,287929635,NuPException,舰长,81,u咪来,26
15,2059921,鬼冢镜,舰长,81,u咪来,26
16,20567181,小爱同学关下灯,舰长,75,u咪来,25
17,10435062,星鱼咪来i-,舰长,35,u咪来,25
18,1754674448,云聚日沉,舰长,43,u咪来,24
19,5092994,ALin-INTP,舰长,24,u咪来,23
20,237079141,_Kev1n_,舰长,11,u咪来,23
21,1901524034,不是汉谟是拉比,舰长,2,u咪来,23
22,1168544985,1uxien,舰长,18,u咪来,22
23,314881392,leo11544,舰长,8,u咪来,21
