rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,这猫好大只,提督,31,u咪来,42
2,25151770,照夜玉柿子,舰长,66,u咪来,31
3,29113754,Epiphyllum丶丶,舰长,66,u咪来,30
4,4713118,我看你也是风韵犹存呢,舰长,61,u咪来,28
5,42547938,咖卜骑糯,舰长,62,u咪来,28
6,506962014,bili_12512606953,舰长,71,u咪来,28
7,3494371510979288,浸梦海床,舰长,26,u咪来,27
8,395692114,yuki_asakaze,舰长,70,u咪来,27
9,6369479,免肆,舰长,59,u咪来,26
10,101990044,imay__,舰长,72,u咪来,26
11,287929635,NuPException,舰长,72,u咪来,26
12,2059921,鬼冢镜,舰长,72,u咪来,25
13,20567181,小爱同学关下灯,舰长,66,u咪来,25
14,62165773,Ar_紫,舰长,60,u咪来,25
15,1754674448,云聚日沉,舰长,34,u咪来,24
16,10435062,星鱼咪来i-,舰长,26,u咪来,24
17,517546152,嗨皮酒吧,舰长,25,u咪来,24
18,5092994,ALin-INTP,舰长,15,u咪来,23
19,237079141,_Kev1n_,舰长,2,u咪来,23
20,481601612,失忆症_i,舰长,16,u咪来,22
21,21598290,AAA砚星楼月师傅,舰长,25,u咪来,22
22,1168544985,1uxien,舰长,9,u咪来,21
