rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,147,u咪来,42
2,3494371510979288,万华镜mirai,舰长,142,u咪来,35
3,16797830,そらのほし_真爱蜜汁,舰长,116,u咪来,34
4,42547938,咖卜骑糯,舰长,178,u咪来,32
5,3546585180932133,一杯浓咖啡や,舰长,130,u咪来,31
6,506962014,bili_12512606953,舰长,187,u咪来,31
7,29113754,Epiphyllum丶丶,舰长,180,u咪来,31
8,10435062,星虎咪来i,舰长,142,u咪来,30
9,101990044,imay__,舰长,188,u咪来,30
10,62165773,Ar_紫,舰长,176,u咪来,29
11,287929635,NuPException,舰长,188,u咪来,29
12,486624636,YingL7,舰长,3,u咪来,27
13,8318702,KiraCE73,舰长,81,u咪来,26
14,336726549,很难骗到的大黄猫,舰长,28,u咪来,23
15,3546879740610872,池野藻,舰长,22,u咪来,22
16,220973608,森么都布吉岛,舰长,26,u咪来,21
