rank,uid,username,type,accompany,medal_name,medal_level
1,301804470,ALIN-I,提督,151,u咪来,42
2,3494371510979288,万华镜mirai,舰长,146,u咪来,35
3,16797830,成熟可靠de果莓莓の狗,舰长,120,u咪来,34
4,3546585180932133,一杯浓咖啡や,舰长,134,u咪来,31
5,506962014,bili_12512606953,舰长,191,u咪来,31
6,10435062,星虎咪来i,舰长,146,u咪来,30
7,101990044,imay__,舰长,192,u咪来,30
8,62165773,Ar_紫,舰长,180,u咪来,29
9,287929635,NuPException,舰长,192,u咪来,29
10,486624636,YingL7,舰长,7,u咪来,27
11,8318702,KiraCE73,舰长,85,u咪来,26
12,336726549,很难骗到的大黄猫,舰长,32,u咪来,25
13,3546879740610872,池野藻,舰长,26,u咪来,22
14,220973608,森么都布吉岛,舰长,30,u咪来,21
